AC.MX,ALPEKA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,BSMXB.MX,CEMEXCPO.MX,CUERVO.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,IENOVA.MX,KIMBERA.MX,KOF,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXCHF,OMAB.MX,PE&OLES.MX,PINFRA.MX,RA.MX,TLEVISACPO.MX
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.666667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.208333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.875,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
