date,open,high,low,close,volume
2020-02-17 10:44:00,116.5,116.5,116.5,116.5,117.0
2020-02-17 10:45:00,116.5,116.5,116.5,116.5,130.0
2020-02-17 10:46:00,,,,,
2020-02-17 10:47:00,116.5,116.5,116.5,116.5,117.0
2020-02-17 10:48:00,116.5,116.5,116.5,116.5,308.0
2020-02-17 10:49:00,,,,,
2020-02-17 10:50:00,,,,,
2020-02-17 10:51:00,,,,,
2020-02-17 10:52:00,,,,,
2020-02-17 10:53:00,116.5,116.5,116.5,116.5,176.0
2020-02-17 10:54:00,,,,,
2020-02-17 10:55:00,,,,,
2020-02-17 10:56:00,,,,,
2020-02-17 10:57:00,,,,,
2020-02-17 10:58:00,,,,,
2020-02-17 10:59:00,,,,,
2020-02-17 11:00:00,116.5,116.5,116.5,116.5,200.0
2020-02-17 11:01:00,,,,,
2020-02-17 11:02:00,,,,,
2020-02-17 11:03:00,,,,,
2020-02-17 11:04:00,,,,,
2020-02-17 11:05:00,,,,,
2020-02-17 11:06:00,116.4000015258789,116.4000015258789,116.4000015258789,116.4000015258789,336.0
2020-02-17 11:07:00,,,,,
2020-02-17 11:08:00,,,,,
2020-02-17 11:09:00,,,,,
2020-02-17 11:10:00,,,,,
2020-02-17 11:11:00,,,,,
2020-02-17 11:12:00,,,,,
2020-02-17 11:13:00,,,,,
2020-02-17 11:14:00,,,,,
2020-02-17 11:15:00,,,,,
2020-02-17 11:16:00,,,,,
2020-02-17 11:17:00,,,,,
2020-02-17 11:18:00,,,,,
2020-02-17 11:19:00,,,,,
2020-02-17 11:20:00,,,,,
2020-02-17 11:21:00,,,,,
2020-02-17 11:22:00,,,,,
2020-02-17 11:23:00,,,,,
2020-02-17 11:24:00,,,,,
2020-02-17 11:25:00,,,,,
2020-02-17 11:26:00,,,,,
2020-02-17 11:27:00,,,,,
2020-02-17 11:28:00,,,,,
2020-02-17 11:29:00,,,,,
2020-02-17 11:30:00,,,,,
2020-02-17 11:31:00,,,,,
2020-02-17 11:32:00,,,,,
2020-02-17 11:33:00,,,,,
2020-02-17 11:34:00,,,,,
2020-02-17 11:35:00,,,,,
2020-02-17 11:36:00,,,,,
2020-02-17 11:37:00,,,,,
2020-02-17 11:38:00,,,,,
2020-02-17 11:39:00,,,,,
2020-02-17 11:40:00,,,,,
2020-02-17 11:41:00,,,,,
2020-02-17 11:42:00,,,,,
2020-02-17 11:43:00,,,,,
2020-02-17 11:44:00,,,,,
2020-02-17 11:45:00,,,,,
2020-02-17 11:46:00,,,,,
2020-02-17 11:47:00,,,,,
2020-02-17 11:48:00,,,,,
2020-02-17 11:49:00,,,,,
2020-02-17 11:50:00,,,,,
2020-02-17 11:51:00,,,,,
2020-02-17 11:52:00,,,,,
2020-02-17 11:53:00,,,,,
2020-02-17 11:54:00,,,,,
2020-02-17 11:55:00,,,,,
2020-02-17 11:56:00,116.05999755859375,116.38999938964844,116.0,116.38999938964844,17246.0
2020-02-17 11:57:00,,,,,
2020-02-17 11:58:00,,,,,
2020-02-17 11:59:00,,,,,
2020-02-17 12:00:00,,,,,
2020-02-17 12:01:00,,,,,
2020-02-17 12:02:00,,,,,
2020-02-17 12:03:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,411.0
2020-02-17 12:04:00,,,,,
2020-02-17 12:05:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,130.0
2020-02-17 12:06:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,247.0
2020-02-17 12:07:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,127.0
2020-02-17 12:08:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,120.0
2020-02-17 12:09:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,178.0
2020-02-17 12:10:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,118.0
2020-02-17 12:11:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,119.0
2020-02-17 12:12:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,130.0
2020-02-17 12:13:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,119.0
2020-02-17 12:14:00,,,,,
2020-02-17 12:15:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,190.0
2020-02-17 12:16:00,,,,,
2020-02-17 12:17:00,,,,,
2020-02-17 12:18:00,,,,,
2020-02-17 12:19:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,119.0
2020-02-17 12:20:00,,,,,
2020-02-17 12:21:00,116.38999938964844,116.38999938964844,116.38999938964844,116.38999938964844,221.0
2020-02-17 12:22:00,,,,,
2020-02-17 12:23:00,,,,,
2020-02-17 12:24:00,,,,,
2020-02-17 12:25:00,,,,,
2020-02-17 12:26:00,,,,,
2020-02-17 12:27:00,,,,,
2020-02-17 12:28:00,,,,,
2020-02-17 12:29:00,,,,,
2020-02-17 12:30:00,,,,,
2020-02-17 12:31:00,,,,,
2020-02-17 12:32:00,,,,,
2020-02-17 12:33:00,,,,,
2020-02-17 12:34:00,116.19999694824219,116.19999694824219,116.19999694824219,116.19999694824219,2988.0
2020-02-17 12:35:00,,,,,
2020-02-17 12:36:00,,,,,
2020-02-17 12:37:00,,,,,
2020-02-17 12:38:00,,,,,
2020-02-17 12:39:00,,,,,
2020-02-17 12:40:00,,,,,
2020-02-17 12:41:00,,,,,
2020-02-17 12:42:00,,,,,
2020-02-17 12:43:00,,,,,
2020-02-17 12:44:00,,,,,
2020-02-17 12:45:00,,,,,
2020-02-17 12:46:00,116.0,116.0,116.0,116.0,417.0
2020-02-17 12:47:00,,,,,
2020-02-17 12:48:00,,,,,
2020-02-17 12:49:00,,,,,
2020-02-17 12:50:00,,,,,
2020-02-17 12:51:00,,,,,
2020-02-17 12:52:00,,,,,
2020-02-17 12:53:00,,,,,
2020-02-17 12:54:00,,,,,
2020-02-17 12:55:00,,,,,
2020-02-17 12:56:00,,,,,
2020-02-17 12:57:00,116.0,116.0,116.0,116.0,212.0
2020-02-17 12:58:00,,,,,
2020-02-17 12:59:00,,,,,
2020-02-17 13:00:00,,,,,
2020-02-17 13:01:00,115.6500015258789,115.6500015258789,115.6500015258789,115.6500015258789,671.0
2020-02-17 13:02:00,,,,,
2020-02-17 13:03:00,,,,,
2020-02-17 13:04:00,,,,,
2020-02-17 13:05:00,,,,,
2020-02-17 13:06:00,,,,,
2020-02-17 13:07:00,,,,,
2020-02-17 13:08:00,,,,,
2020-02-17 13:09:00,,,,,
2020-02-17 13:10:00,,,,,
2020-02-17 13:11:00,,,,,
2020-02-17 13:12:00,,,,,
2020-02-17 13:13:00,,,,,
2020-02-17 13:14:00,,,,,
2020-02-17 13:15:00,,,,,
2020-02-17 13:16:00,,,,,
2020-02-17 13:17:00,,,,,
2020-02-17 13:18:00,,,,,
2020-02-17 13:19:00,,,,,
2020-02-17 13:20:00,,,,,
2020-02-17 13:21:00,,,,,
2020-02-17 13:22:00,,,,,
2020-02-17 13:23:00,,,,,
2020-02-17 13:24:00,,,,,
